0.376698,0.940767
0.393366,0.943148
0.408113,0.945109
0.422859,0.94721
0.43953,0.949311
0.455238,0.951458
0.47384,0.953233
0.489874,0.95496
0.509119,0.956641
0.528368,0.957995
0.547615,0.959536
0.565259,0.960796
0.584186,0.962243
0.604397,0.963691
0.623968,0.964951
0.644505,0.966025
0.663434,0.967286
0.683327,0.968406
0.703862,0.96962
0.724721,0.970554
0.744938,0.971488
0.765799,0.972281
0.786015,0.973309
0.806233,0.974149
0.827735,0.975083
0.847954,0.97583
0.870098,0.976717
0.888711,0.977511
0.910536,0.978211
0.931399,0.978818
0.952904,0.979471
0.972802,0.980172
0.995272,0.980639
